YM,average_temp,high_temp,low_temp,YY,MM,취사공급량(천m3),난방공급량(천m3),취사수요가수,난방수요가수,평균취사공급량(m3),평균난방공급량(m3)
2011-01,-5.427461151290323,-0.6448225263870967,-10.080952037645162,2011,1,146756.0,1746891.0,14010052.0,11360915.0,10.475050342425567,153.76323121861225
2011-02,1.5612499652857144,7.159439208071428,-3.1934503698571426,2011,2,129149.0,1404488.0,14077242.0,11623204.0,9.174311274893192,120.8348403761992
2011-03,4.367995503,9.746868856774194,-0.522558965516129,2011,3,140557.0,1140302.0,14110437.0,11448134.0,9.96120814684903,99.6059270445297
2011-04,10.8237065324,16.459992146666668,5.567041875399999,2011,4,126267.0,778196.0,14149959.0,11447271.0,8.923488753571654,67.9809187709455
2011-05,17.10012559483871,22.35811609387097,12.33479585635484,2011,5,121290.0,407865.0,14163683.0,11444600.0,8.563450622271057,35.63820491760306
2011-06,21.455529619333333,26.313250261666667,17.456958651666664,2011,6,113048.0,187162.0,14166132.0,11440279.0,7.980160004156392,16.359915697860163
2011-07,24.83827281354839,28.53044821516129,22.005885121290323,2011,7,120474.0,120192.0,14210509.0,11457655.0,8.477810330368884,10.49010465055895
2011-08,25.28527725,29.127939686451615,22.49946130935484,2011,8,107699.0,94471.0,14178309.0,11438451.0,7.596039838037103,8.259072841243977
2011-09,21.368362054333332,26.355653677000003,17.23164672333333,2011,9,115637.0,102795.0,14221315.0,11479116.0,8.131245247011265,8.954957855639755
2011-10,14.090460500096773,19.878308792903226,9.008399981935485,2011,10,142113.0,313562.0,14314057.0,11579661.0,9.928212525631274,27.078685636824776
2011-11,11.081199307966667,15.621902975366668,7.0858234029,2011,11,139811.0,558550.0,14381498.0,11634264.0,9.721588112726504,48.00905325854734
2011-12,0.37018625845161296,4.753704576516129,-3.710290711903226,2011,12,155802.0,1159975.0,14486948.0,11741454.0,10.754646182204837,98.79313073150907
2012-01,-1.6259658207419354,3.0788150742903224,-5.966425325354838,2012,1,146297.0,1566866.0,14508789.0,11792666.0,10.083336383208826,132.86783497472075
2012-02,-1.1022090126206896,4.154190495413793,-5.814660257965517,2012,2,143614.0,1482128.0,14567502.0,11846663.0,9.858519326099973,125.10932403496241
2012-03,5.496470193451613,10.196706848838708,1.1742054306451613,2012,3,140857.0,1162518.0,14608114.0,11875988.0,9.642380939798253,97.88810834096498
2012-04,12.319991734966667,18.174654619000002,6.925500770366667,2012,4,130831.0,751814.0,14656647.0,11917205.0,8.92639360148334,63.08643679453362
2012-05,18.484490395806453,24.304719187419355,13.53715528064516,2012,5,123384.0,305546.0,14651551.0,11897288.0,8.421224483332857,25.6819873571187
2012-06,22.569898325333334,27.758559247,18.447248095333332,2012,6,112181.0,144757.0,14699751.0,11913462.0,7.631489812310426,12.150708165267158
2012-07,25.274938457096777,29.201721148709677,22.10400107032258,2012,7,113816.0,98634.0,14751333.0,11892263.0,7.7156416982790645,8.293963899049322
2012-08,26.64091770870968,30.619922848709674,23.357835263225805,2012,8,106810.0,65962.0,14755172.0,11898331.0,7.23881768372473,5.543802740064972
2012-09,20.466369188666665,25.166799941333334,16.647984872333332,2012,9,122064.0,100398.0,14795725.0,12423672.0,8.249950576940298,8.08118565911914
2012-10,14.755746351032258,20.812477742258064,9.571408510193548,2012,10,143724.0,273486.0,14874948.0,12028344.0,9.662151423991531,22.736795688583566
2012-11,6.3123232127,11.031309808533333,1.9309202845333333,2012,11,151286.0,752667.0,14958220.0,12115975.0,10.113903927071537,62.121868029605544
2012-12,-2.525209831032258,1.8570089577419353,-6.596915165032259,2012,12,158978.0,1429891.0,15054255.0,12227637.0,10.560336595866085,116.93927453031195
