Date,average_temp,high_temp,low_temp
2001-04-17,14.47038215,23.34434455,5.964141622
2001-04-18,15.00408127,24.01053475,6.737276112
2001-04-19,13.81057273,21.76951845,7.739706574
2001-04-20,13.01944012,18.43514416,8.043580177
2001-04-21,12.84820287,19.59870455,7.267397718
2001-04-22,12.72908433,19.68799388,6.169235353
2001-04-23,12.95081043,19.905783,5.959026175
2001-04-24,13.30215002,19.54066841,8.205106198
2001-04-25,12.20515193,18.48030461,6.066633134
2001-04-26,12.5356008,19.96444518,5.374269981
2001-04-27,14.46815271,22.6863555,5.867901258
2001-04-28,15.78871689,21.37369353,9.450694164
2001-04-29,17.5559407,21.3308455,14.14045796
2001-04-30,17.71920115,24.21020816,13.57651514
2001-05-01,14.80685592,19.32826323,11.75540793
2001-05-02,14.23419505,19.88409187,10.41922996
2001-05-03,13.86842745,20.2618002,8.893427092
2001-05-04,14.31960031,19.9154069,10.45214885
2001-05-05,15.64125919,22.16614627,9.95992625
2001-05-06,18.16359509,24.76803538,11.16717849
2001-05-07,17.17849342,20.89046801,14.93177559
2001-05-08,18.06149491,24.41816541,13.80881251
2001-05-09,15.10232651,19.99735654,11.9084545
2001-05-10,15.55797156,21.99147585,9.892346424
2001-05-11,15.5235885,21.4749953,10.00089968
2001-05-12,16.39032879,23.71616764,9.456998251
2001-05-13,18.03365896,26.26984933,9.832065598
2001-05-14,18.97173292,26.92516911,12.46913881
2001-05-15,17.23793485,22.1251894,12.19990422
2001-05-16,17.97496725,23.88180091,12.13572388
2001-05-17,19.82185366,27.23245749,12.74641114
2001-05-18,18.81820395,23.24154039,14.95050183
2001-05-19,20.32264819,26.66650298,15.81235371
2001-05-20,21.27979647,27.40264999,16.5465537
2001-05-21,21.50231754,27.84811789,16.79773985
2001-05-22,18.1978472,20.50172282,16.70773258
2001-05-23,20.40215621,25.13067794,16.4607556
2001-05-24,20.57519956,26.85840289,15.33627973
2001-05-25,20.32393851,26.29697509,16.45863724
2001-05-26,19.3804065,24.29445477,16.32278568
2001-05-27,19.80407498,26.16431696,14.5554097
2001-05-28,20.34381645,27.95615264,12.73859876
2001-05-29,21.89997505,29.43602703,15.21891449
2001-05-30,18.52989396,21.34718012,15.68849798
2001-05-31,18.92749262,25.24949974,13.6645113
2001-06-01,19.23535396,25.04315215,12.99881297
2001-06-02,21.08236556,28.33506882,14.54203096
2001-06-03,22.52515941,30.82415765,15.00088112
2001-06-04,21.93556593,28.15750292,17.89064311
2001-06-05,19.96258913,23.84090443,17.6936356
2001-06-06,21.83372261,28.36033377,17.09270223
2001-06-07,22.7714449,30.16549572,16.75634626
2001-06-08,22.37947258,28.99420431,17.87978941
2001-06-09,22.39931689,29.55672768,17.12420562
2001-06-10,23.11171597,30.3092418,17.65061452
2001-06-11,22.12896229,27.47862772,18.5662572
2001-06-12,21.55639177,26.55060652,17.92980566
2001-06-13,19.88894004,22.1614902,18.09586235
2001-06-14,20.62742826,25.03386828,17.36451668
2001-06-15,20.77649393,26.81327088,15.3436797
2001-06-16,21.03326926,25.8409495,16.09654274
2001-06-17,22.81323732,28.35697732,18.00775178
2001-06-18,20.69395215,22.4393121,19.36666084
2001-06-19,21.72315544,25.70773937,18.97603265
2001-06-20,21.68580568,26.91118755,18.10831089
2001-06-21,21.31784089,24.86801597,18.73281805
2001-06-22,21.32766677,25.15428311,18.74524893
2001-06-23,21.06852205,24.01030049,19.33876778
2001-06-24,20.41627208,22.34621579,18.91659031
2001-06-25,22.59997772,26.93358985,19.21716293
2001-06-26,22.13782965,25.57095623,19.74580756
2001-06-27,22.34294053,25.48992441,19.90530456
2001-06-28,23.93328447,28.5885119,20.35221703
2001-06-29,23.21314678,25.28299071,21.60331622
2001-06-30,22.94762287,26.14478963,20.9251995
2001-07-01,24.44652966,29.17499576,21.12820313
2001-07-02,26.73276783,31.23718572,23.30872406
2001-07-03,25.64694762,29.20518163,23.02674028
2001-07-04,25.9223618,30.86407658,22.24167034
2001-07-05,24.16552852,28.11560042,21.34495846
2001-07-06,24.17934551,29.31244767,20.24904855
2001-07-07,24.16526581,29.61818118,20.13147787
2001-07-08,24.43668182,29.75408441,20.20560339
2001-07-09,24.5304847,29.92194176,20.33768897
2001-07-10,23.01796025,26.90596147,19.64538529
2001-07-11,24.76270825,28.6725945,21.95700625
2001-07-12,24.32338228,28.101072,21.8514567
2001-07-13,25.07245295,29.72286497,21.14123643
2001-07-14,24.51081683,28.29179646,21.82210579
2001-07-15,24.13573068,27.87887375,21.77477642
2001-07-16,24.04007381,28.31441191,21.1146452
2001-07-17,24.80373393,29.91081545,20.11626148
2001-07-18,24.51308271,29.89233723,20.21182736
2001-07-19,24.48778303,29.91259677,20.08295714
2001-07-20,25.73602679,30.39083268,22.07399017
2001-07-21,26.21716488,29.01351937,23.74119293
2001-07-22,26.96325549,30.19545538,24.17631911
2001-07-23,26.77015095,31.63690529,24.05136332
2001-07-24,26.72504946,30.94529676,23.4360572
2001-07-25,27.41421008,33.00357106,23.80971018
2001-07-26,27.43001414,32.67400313,23.79358903
2001-07-27,26.99675657,31.64446394,23.87390782
2001-07-28,27.2779583,31.27149738,23.92773526
2001-07-29,26.55478403,30.12083125,23.6340274
2001-07-30,25.9830166,29.43024603,23.72337922
2001-07-31,26.96643733,31.39292977,24.13510184
